variant	standards	kind	reason
阿婆	外祖母|祖母	genuine	南系不強分內外祖母;亦泛稱老婦
嫲嫲	外祖母|祖母	genuine	粵語同形,靠語境區分
奶奶	婆婆|祖母	genuine	北方口語兼稱夫母與祖父之妻
嬢嬢	姑母|姨母	genuine	川渝兼稱姑母與姨母
伯公	伯岳父|伯祖父	genuine	南系以「公/婆」統稱祖輩,血親側與配偶側同形
伯婆	伯岳母|伯祖母	genuine	同上
叔公	叔岳父|叔祖父	genuine	同上
叔婆	叔岳母|叔祖母	genuine	同上
姑公	姑岳父|姑祖父	genuine	同上
姑婆	姑岳母|姑祖母	genuine	同上
舅公	舅岳父|舅祖父	genuine	同上
舅婆	舅岳母|舅祖母	genuine	同上
姨公	姨岳父|姨祖父	genuine	同上
姨婆	姨岳母|姨祖母	genuine	同上
太公	伯曾祖父|曾祖父|舅曾祖父|叔曾祖父	genuine	南系「太公」統稱曾祖輩,不分伯叔舅
太婆	伯曾祖母|曾祖母|姑曾祖母|叔曾祖母|姨曾祖母	genuine	同上
连襟	襟兄|襟弟	genuine	連襟系詞不分長幼,衹有 襟兄/襟弟 本身分
老襟	襟兄|襟弟	genuine	連襟系詞不分長幼,衹有 襟兄/襟弟 本身分
连襟儿	襟兄|襟弟	genuine	連襟系詞不分長幼,衹有 襟兄/襟弟 本身分
连桥	襟兄|襟弟	genuine	連襟系詞不分長幼,衹有 襟兄/襟弟 本身分
两桥	襟兄|襟弟	genuine	連襟系詞不分長幼,衹有 襟兄/襟弟 本身分
一担挑	襟兄|襟弟	genuine	連襟系詞不分長幼,衹有 襟兄/襟弟 本身分
老挑	襟兄|襟弟	genuine	連襟系詞不分長幼,衹有 襟兄/襟弟 本身分
挑担	襟兄|襟弟	genuine	連襟系詞不分長幼,衹有 襟兄/襟弟 本身分
担儿挑	襟兄|襟弟	genuine	連襟系詞不分長幼,衹有 襟兄/襟弟 本身分
友婿	襟兄|襟弟	genuine	連襟系詞不分長幼,衹有 襟兄/襟弟 本身分
娅	襟兄|襟弟	genuine	連襟系詞不分長幼,衹有 襟兄/襟弟 本身分
从父	堂伯|堂叔	genuine	《爾雅》從服書面詞不分伯仲,衹有 堂伯/堂叔 本身分
再从父	从伯|从叔	genuine	同上
再从母	从伯母|从婶	genuine	同上
恩爹	姑外祖父|姑祖父	genuine	閩南恩系不分內外祖輩
