variant	canonical	tags	note
姑婆	姑奶奶	colloquial;south	grand-collateral composed daily form (K8)
舅公	舅爷爷	colloquial;south	grand-collateral composed daily form (K8)
姨婆	姨奶奶	colloquial;south	grand-collateral composed daily form (K8)
姨公	姨爷爷	colloquial;south	grand-collateral composed daily form (K8)
爷爷	祖父	colloquial;north	legacy map migration
奶奶	祖母	colloquial;north	legacy map migration
姥姥	外祖母	colloquial;north	legacy map migration
姥爷	外祖父	colloquial;north	legacy map migration
大伯父	大爷	colloquial;north	legacy map migration
伯父	大爷	colloquial;north	legacy map migration
大伯母	大妈	colloquial;north	legacy map migration
二伯母	二大妈	colloquial;north	legacy map migration
婶婶	婶母	colloquial	legacy map migration
婶儿	婶母	colloquial;north	legacy map migration
伯外公	外伯祖父	colloquial	legacy map migration (R0007)
伯外婆	外伯祖母	colloquial	legacy map migration (R0007)
叔外公	外叔祖父	colloquial	legacy map migration (R0007)
叔外婆	外叔祖母	colloquial	legacy map migration (R0007)
姑外公	外姑祖父	colloquial	legacy map migration (R0007)
姑外婆	外姑祖母	colloquial	legacy map migration (R0007)
伯公	伯祖父	colloquial;south	grand-uncle family
伯祖	伯祖父	literary	grand-uncle family
伯翁	伯祖父	literary	grand-uncle family
大爷爷	伯祖父	colloquial;north	grand-uncle family
大公	伯祖父	dialect	grand-uncle family
大阿爷	伯祖父	dialect;wu-yue	grand-uncle family
大嗲	伯祖父	dialect;xiang	grand-uncle family
叔公	叔祖父	colloquial;south	grand-uncle family
叔祖	叔祖父	literary	grand-uncle family
叔翁	叔祖父	literary	grand-uncle family
小爷爷	叔祖父	colloquial;north	grand-uncle family
晚公	叔祖父	dialect	grand-uncle family
幺爷	叔祖父	dialect;southwest	grand-uncle family
细嗲	叔祖父	dialect;xiang	grand-uncle family
伯婆	伯祖母	colloquial;south	grand-aunt family
姆婆	伯祖母	dialect;min-hakka	grand-aunt family
大奶奶	伯祖母	colloquial;north	grand-aunt family
伯娭毑	伯祖母	dialect;xiang	grand-aunt family
叔婆	叔祖母	colloquial;south	grand-aunt family
婶婆	叔祖母	colloquial	grand-aunt family
小奶奶	叔祖母	colloquial;north	grand-aunt family
叔娭毑	叔祖母	dialect;xiang	grand-aunt family
晚婆	叔祖母	dialect	grand-aunt family
幺奶	叔祖母	dialect;southwest	grand-aunt family
姑奶奶	姑祖母	colloquial;north	grand-aunt family
祖姑	姑祖母	literary	grand-aunt family
姑奶	姑祖母	colloquial	grand-aunt family
恩婆	姑祖母	dialect	grand-aunt family
姑娭毑	姑祖母	dialect;xiang	grand-aunt family
姑爷爷	姑祖父	colloquial;north	grand-uncle-in-law family
祖姑丈	姑祖父	literary	grand-uncle-in-law family
恩爹	姑祖父	dialect	grand-uncle-in-law family
姑丈公	姑祖父	dialect;min-yue	grand-uncle-in-law family
舅爷爷	舅祖父	colloquial;north	maternal grand-uncle family
舅祖	舅祖父	literary	maternal grand-uncle family
舅爹	舅祖父	dialect	maternal grand-uncle family
太舅父	舅祖父	literary	maternal grand-uncle family
大舅爷	舅祖父	colloquial;north;rank	maternal grand-uncle family
小舅爷	舅祖父	colloquial;north;rank	maternal grand-uncle family
大舅爹	舅祖父	dialect;rank	maternal grand-uncle family
小舅爹	舅祖父	dialect;rank	maternal grand-uncle family
舅奶奶	舅祖母	colloquial;north	maternal grand-aunt family
妗婆	舅祖母	dialect;jin-zhongyuan	maternal grand-aunt family
舅婆	舅祖母	colloquial	maternal grand-aunt family
妗奶	舅祖母	dialect	maternal grand-aunt family
太舅母	舅祖母	literary	maternal grand-aunt family
大舅婆	舅祖母	colloquial;rank	maternal grand-aunt family
小舅婆	舅祖母	colloquial;rank	maternal grand-aunt family
姨奶奶	姨祖母	colloquial;north	maternal grand-aunt family
姨奶	姨祖母	colloquial	maternal grand-aunt family
姨娭毑	姨祖母	dialect;xiang	maternal grand-aunt family
姨爷爷	姨祖父	colloquial;north	maternal grand-uncle-in-law family
姨公公	姨祖父	colloquial;south	maternal grand-uncle-in-law family
姨爹	姨祖父	dialect	maternal grand-uncle-in-law family
姨丈公	姨祖父	dialect;min-yue	maternal grand-uncle-in-law family
