table_row_number	source_sheet_row_number	raw_key	chain_selector	mumuy_primary_term	mumuy_term_set	notes
1	549	1,xb,w,xb	1,xb,w,xb	叔眷兄弟	叔眷兄弟	Unsupported token(s): 1
2	550	1,xb,w,xb,s	1,xb,w,xb,s	叔眷舅男	叔眷舅男	Unsupported token(s): 1
3	551	1,xb,w,xb,d	1,xb,w,xb,d	叔眷舅女	叔眷舅女	Unsupported token(s): 1
4	552	1,xb,w,xs	1,xb,w,xs	叔眷姊妹	叔眷姊妹	Unsupported token(s): 1
5	553	1,xb,w,xs,s	1,xb,w,xs,s	叔眷姨男	叔眷姨男	Unsupported token(s): 1
6	554	1,xb,w,xs,d	1,xb,w,xs,d	叔眷姨女	叔眷姨女	Unsupported token(s): 1
7	555	1,xb,s	1,xb,s	从男	从男 | 从子	Unsupported token(s): 1
8	556	1,xb,s,s	1,xb,s,s	从孙	从孙	Unsupported token(s): 1
9	557	1,xb,s,s,s	1,xb,s,s,s	从曾孙	从曾孙	Unsupported token(s): 1
10	558	1,xb,s,s,s,s	1,xb,s,s,s,s	从玄孙	从玄孙	Unsupported token(s): 1
11	559	1,xb,s,w	1,xb,s,w	从妇	从妇	Unsupported token(s): 1
12	560	1,xb,d	1,xb,d	从女	从女 | 从子	Unsupported token(s): 1
13	561	1,xb,d,h	1,xb,d,h	从婿	从婿	Unsupported token(s): 1
14	562	1,xs,h,xb	1,xs,h,xb	姑姻兄弟	姑姻兄弟	Unsupported token(s): 1
15	563	1,xs,h,xb,s	1,xs,h,xb,s	姑姻叔男	姑姻叔男	Unsupported token(s): 1
16	564	1,xs,h,xb,d	1,xs,h,xb,d	姑姻叔女	姑姻叔女	Unsupported token(s): 1
17	565	1,xs,h,xs	1,xs,h,xs	姑姻姊妹	姑姻姊妹	Unsupported token(s): 1
18	566	1,xs,h,xs,s	1,xs,h,xs,s	姑姻姑男	姑姻姑男	Unsupported token(s): 1
19	567	1,xs,h,xs,d	1,xs,h,xs,d	姑姻姑女	姑姻姑女	Unsupported token(s): 1
20	568	1,xs,s,s	1,xs,s,s	离孙男	离孙男 | 离孙子	Unsupported token(s): 1
21	569	1,xs,s,d	1,xs,s,d	离孙女	离孙女	Unsupported token(s): 1
22	570	0,xb,w,xb	0,xb,w,xb	舅眷兄弟	舅眷兄弟	Unsupported token(s): 0
23	571	0,xb,w,xb,s	0,xb,w,xb,s	舅眷舅男	舅眷舅男	Unsupported token(s): 0
24	572	0,xb,w,xb,d	0,xb,w,xb,d	舅眷舅女	舅眷舅女	Unsupported token(s): 0
25	573	0,xb,w,xs	0,xb,w,xs	舅眷姊妹	舅眷姊妹	Unsupported token(s): 0
26	574	0,xb,w,xs,s	0,xb,w,xs,s	舅眷姨男	舅眷姨男	Unsupported token(s): 0
27	575	0,xb,w,xs,d	0,xb,w,xs,d	舅眷姨女	舅眷姨女	Unsupported token(s): 0
28	576	0,xs,h,xb	0,xs,h,xb	姨姻兄弟	姨姻兄弟	Unsupported token(s): 0
29	577	0,xs,h,xb,s	0,xs,h,xb,s	姨姻叔男	姨姻叔男	Unsupported token(s): 0
30	578	0,xs,h,xb,d	0,xs,h,xb,d	姨姻叔女	姨姻叔女	Unsupported token(s): 0
31	579	0,xs,h,xs	0,xs,h,xs	姨姻姊妹	姨姻姊妹	Unsupported token(s): 0
32	580	0,xs,h,xs,s	0,xs,h,xs,s	姨姻姑男	姨姻姑男	Unsupported token(s): 0
33	581	0,xs,h,xs,d	0,xs,h,xs,d	姨姻姑女	姨姻姑女	Unsupported token(s): 0
34	582	0,xb,s	0,xb,s	娘家侄子	娘家侄子 | 娘家侄	Unsupported token(s): 0
35	583	0,xb,s,s	0,xb,s,s	归孙男	归孙男 | 归孙子	Unsupported token(s): 0
36	584	0,xb,s,d	0,xb,s,d	归孙女	归孙女	Unsupported token(s): 0
37	585	0,xb,d	0,xb,d	娘家侄女	娘家侄女	Unsupported token(s): 0
38	586	0,xs,s	0,xs,s	姨甥	姨甥 | 姨甥男 | 从男 | 从子	Unsupported token(s): 0
39	587	0,xs,s,w	0,xs,s,w	从妇	从妇	Unsupported token(s): 0
40	588	0,xs,d	0,xs,d	姨甥女	姨甥女 | 从女 | 从子	Unsupported token(s): 0
41	589	0,xs,d,h	0,xs,d,h	从婿	从婿	Unsupported token(s): 0
42	590	0,xs,s,s	0,xs,s,s	姨甥孙	姨甥孙 | 姨孙 | 姨甥孙男 | 姨孙男	Unsupported token(s): 0
43	591	0,xs,s,d	0,xs,s,d	姨甥孙女	姨甥孙女 | 姨孙女	Unsupported token(s): 0
44	592	0,xs,d,s	0,xs,d,s	姨甥外孙	姨甥外孙 | 姨外孙 | 姨甥外孙男 | 姨外孙男	Unsupported token(s): 0
45	593	0,xs,d,d	0,xs,d,d	姨甥外孙女	姨甥外孙女 | 姨外孙女	Unsupported token(s): 0
