table_row_number	source_sheet_row_numbers	raw_key_set	chain_selector_set	chain_symbol_path	mumuy_primary_term_candidates	mumuy_term_set	our_official_or_fallback_male	our_daily_folk_1st_candidate_male	our_daily_folk_others_male	our_is_exact_match_male	our_official_or_fallback_female	our_daily_folk_1st_candidate_female	our_daily_folk_others_female	our_is_exact_match_female	notes	our_candidate_display	our_judgment
1	2		(self)	(self)	自己	自己 | 我 | 俺 | 吾 | 本人 | 在下	自己	自己		True	自己	自己		True	Self row	自己	一致
2	499	d	d	D	女儿	女儿 | 千金 | 小姐 | 掌上明珠 | 息女 | 闺女 | 囡囡 | 囡女 | 囡儿 | 乖囡 | 囡嗯 | 丫头 | 姑娘 | 妮子 | 女亲 | 长女 | 次女 | 幼女 | 女 | 阿女 | 女女	女兒	女兒 | 閨女|丫頭|妮子|囡囡|囡女|囡兒|乖囡|阿女|息女|女		True	女兒	女兒 | 閨女|丫頭|妮子|囡囡|囡女|囡兒|乖囡|阿女|息女|女		True		女兒	一致
3	535	d,d	d,d	D.D	外孙女	外孙女 | 外孙囡 | 外孙女儿	自己→第2代晚輩(女系女)	外孫女 | 外孫女兒|外孫囡		True	自己→第2代晚輩(女系女)	外孫女 | 外孫女兒|外孫囡		True		外孫女	一致
4	543	d,d,d	d,d,d	D.D.D	外曾外孙女	外曾外孙女 | 外息女	自己→第3代晚輩(女系女)	外曾外孫女		True	自己→第3代晚輩(女系女)	外曾外孫女		True		外曾外孫女	一致
5	547	d,d,d,d	d,d,d,d	D.D.D.D	外曾外曾外孙女	外曾外曾外孙女	自己→第4代晚輩(女系女)	外玄外孫女		True	自己→第4代晚輩(女系女)	外玄外孫女		True		外玄外孫女	拒收：外玄外孫女
6	548	d,d,d,d,h	d,d,d,d,h	D.D.D.D.SP	外曾外曾外孙女婿	外曾外曾外孙女婿	自己→第4代晚輩(女系女)→配偶	外玄外孫婿		True	自己→第4代晚輩(女系女)→配偶	外玄外孫婿		True		外玄外孫婿	拒收：外玄外孫婿
7	545	d,d,d,s	d,d,d,s	D.D.D.S	外曾外曾外孙	外曾外曾外孙	自己→第4代晚輩(女系男)	外玄外孫子		True	自己→第4代晚輩(女系男)	外玄外孫子		True		外玄外孫子	拒收：外玄外孫子
8	546	d,d,d,s,w	d,d,d,s,w	D.D.D.S.SP	外曾外曾外孙媳妇	外曾外曾外孙媳妇	自己→第4代晚輩(女系男)→配偶	外玄外孫媳		True	自己→第4代晚輩(女系男)→配偶	外玄外孫媳		True		外玄外孫媳	拒收：外玄外孫媳
9	544	d,d,d,h	d,d,d,h	D.D.D.SP	外曾外孙女婿	外曾外孙女婿	自己→第3代晚輩(女系女)→配偶	外曾外孫婿 | 外曾外孫女婿		True	自己→第3代晚輩(女系女)→配偶	外曾外孫婿 | 外曾外孫女婿		True		外曾外孫婿	可接受簡寫：外曾外孫婿
10	537	d,d,s	d,d,s	D.D.S	外曾外孙	外曾外孙 | 外息仔	自己→第3代晚輩(女系男)	外曾外孫子 | 外曾外孫		True	自己→第3代晚輩(女系男)	外曾外孫子 | 外曾外孫		True		外曾外孫子	可接受簡寫：外曾外孫子
11	541	d,d,s,d	d,d,s,d	D.D.S.D	外曾外曾孙女	外曾外曾孙女	自己→第4代晚輩(女系女)	外玄孫女 | 外元孫女		True	自己→第4代晚輩(女系女)	外玄孫女 | 外元孫女		True		外玄孫女	拒收：外玄孫女
12	542	d,d,s,d,h	d,d,s,d,h	D.D.S.D.SP	外曾外曾孙女婿	外曾外曾孙女婿	自己→第4代晚輩(女系女)→配偶	外玄孫婿 | 外玄孫女婿		True	自己→第4代晚輩(女系女)→配偶	外玄孫婿 | 外玄孫女婿		True		外玄孫婿	拒收：外玄孫婿
13	539	d,d,s,s	d,d,s,s	D.D.S.S	外曾外曾孙	外曾外曾孙	自己→第4代晚輩(女系男)	外玄孫子 | 外玄孫|外元孫		True	自己→第4代晚輩(女系男)	外玄孫子 | 外玄孫|外元孫		True		外玄孫子	拒收：外玄孫子
14	540	d,d,s,s,w	d,d,s,s,w	D.D.S.S.SP	外曾外曾孙媳妇	外曾外曾孙媳妇	自己→第4代晚輩(女系男)→配偶	外玄孫媳 | 外玄孫媳婦		True	自己→第4代晚輩(女系男)→配偶	外玄孫媳 | 外玄孫媳婦		True		外玄孫媳	拒收：外玄孫媳
15	538	d,d,s,w	d,d,s,w	D.D.S.SP	外曾外孙媳妇	外曾外孙媳妇	自己→第3代晚輩(女系男)→配偶	外曾外孫媳 | 外曾外孫媳婦		True	自己→第3代晚輩(女系男)→配偶	外曾外孫媳 | 外曾外孫媳婦		True		外曾外孫媳	可接受簡寫：外曾外孫媳
16	536	d,d,h	d,d,h	D.D.SP	外孙女婿	外孙女婿 | 外孙婿 | 外孙郎	自己→第2代晚輩(女系女)→配偶	外孫婿 | 外孫女婿		True	自己→第2代晚輩(女系女)→配偶	外孫婿 | 外孫女婿		True		外孫婿	一致
17	521	d,s	d,s	D.S	外孙	外孙 | 外孙子 | 外孙儿	自己→第2代晚輩(女系男)	外孫子 | 外孫|外孫兒		True	自己→第2代晚輩(女系男)	外孫子 | 外孫|外孫兒		True		外孫子	一致
18	529	d,s,d	d,s,d	D.S.D	外曾孙女	外曾孙女 | 重外孙女 | 外息女	自己→第3代晚輩(女系女)	外曾孫女 | 重外孫女		True	自己→第3代晚輩(女系女)	外曾孫女 | 重外孫女		True		外曾孫女	一致
19	533	d,s,d,d	d,s,d,d	D.S.D.D	外玄外孙女	外玄外孙女	自己→第4代晚輩(女系女)	外玄外孫女		True	自己→第4代晚輩(女系女)	外玄外孫女		True		外玄外孫女	一致
20	534	d,s,d,d,h	d,s,d,d,h	D.S.D.D.SP	外玄外孙女婿	外玄外孙女婿	自己→第4代晚輩(女系女)→配偶	外玄外孫婿		True	自己→第4代晚輩(女系女)→配偶	外玄外孫婿		True		外玄外孫婿	可接受簡寫：外玄外孫婿
21	531	d,s,d,s	d,s,d,s	D.S.D.S	外玄外孙	外玄外孙	自己→第4代晚輩(女系男)	外玄外孫子		True	自己→第4代晚輩(女系男)	外玄外孫子		True		外玄外孫子	可接受簡寫：外玄外孫子
22	532	d,s,d,s,w	d,s,d,s,w	D.S.D.S.SP	外玄外孙媳妇	外玄外孙媳妇	自己→第4代晚輩(女系男)→配偶	外玄外孫媳		True	自己→第4代晚輩(女系男)→配偶	外玄外孫媳		True		外玄外孫媳	可接受簡寫：外玄外孫媳
23	530	d,s,d,h	d,s,d,h	D.S.D.SP	外曾孙女婿	外曾孙女婿 | 重外孙女婿	自己→第3代晚輩(女系女)→配偶	外曾孫婿 | 外曾孫女婿|重外孫女婿		True	自己→第3代晚輩(女系女)→配偶	外曾孫婿 | 外曾孫女婿|重外孫女婿		True		外曾孫婿	可接受簡寫：外曾孫婿
24	523	d,s,s	d,s,s	D.S.S	外曾孙	外曾孙 | 重外孙 | 外息仔	自己→第3代晚輩(女系男)	外曾孫子 | 重外孫|外曾孫		True	自己→第3代晚輩(女系男)	外曾孫子 | 重外孫|外曾孫		True		外曾孫子	可接受簡寫：外曾孫子
25	527	d,s,s,d	d,s,s,d	D.S.S.D	外玄孙女	外玄孙女 | 外元孙女 | 外膀孙女	自己→第4代晚輩(女系女)	外玄孫女 | 外元孫女		True	自己→第4代晚輩(女系女)	外玄孫女 | 外元孫女		True		外玄孫女	一致
26	528	d,s,s,d,h	d,s,s,d,h	D.S.S.D.SP	外玄孙女婿	外玄孙女婿	自己→第4代晚輩(女系女)→配偶	外玄孫婿 | 外玄孫女婿		True	自己→第4代晚輩(女系女)→配偶	外玄孫婿 | 外玄孫女婿		True		外玄孫婿	可接受簡寫：外玄孫婿
27	525	d,s,s,s	d,s,s,s	D.S.S.S	外玄孙	外玄孙 | 外元孙 | 外膀孙	自己→第4代晚輩(女系男)	外玄孫子 | 外玄孫|外元孫		True	自己→第4代晚輩(女系男)	外玄孫子 | 外玄孫|外元孫		True		外玄孫子	可接受簡寫：外玄孫子
28	526	d,s,s,s,w	d,s,s,s,w	D.S.S.S.SP	外玄孙媳妇	外玄孙媳妇	自己→第4代晚輩(女系男)→配偶	外玄孫媳 | 外玄孫媳婦		True	自己→第4代晚輩(女系男)→配偶	外玄孫媳 | 外玄孫媳婦		True		外玄孫媳	可接受簡寫：外玄孫媳
