older-brother,spouse,father	ob,w,f	兄弟眷父
older-brother,spouse,mother	ob,w,m	兄弟眷母
older-brother,spouse,father,father	ob,w,f,f	兄弟眷祖父
older-brother,spouse,father,mother	ob,w,f,m	兄弟眷祖母
older-brother,spouse,mother,father	ob,w,m,f	兄弟眷外祖父
older-brother,spouse,mother,mother	ob,w,m,m	兄弟眷外祖母
older-brother,spouse,older-brother	ob,w,ob	兄弟眷兄弟
older-brother,spouse,younger-sister	ob,w,ls	兄弟眷姊妹
older-brother,spouse,older-brother,son	ob,w,ob,s	兄弟眷侄男
older-brother,spouse,younger-brother,daughter	ob,w,lb,d	兄弟眷侄女
older-brother,spouse,older-sister,daughter	ob,w,os,d	兄弟眷甥女
older-brother,spouse,father,father,father	ob,w,f,f,f	
older-brother,son,spouse,father	ob,s,w,f	侄眷兄弟
older-brother,son,spouse,mother	ob,s,w,m	侄眷姊妹
older-brother,son,spouse,father,father	ob,s,w,f,f	侄眷父
older-brother,son,spouse,father,mother	ob,s,w,f,m	侄眷母
older-brother,son,spouse,mother,father	ob,s,w,m,f	侄眷父
older-brother,son,spouse,mother,mother	ob,s,w,m,m	侄眷母
older-brother,son,spouse,older-brother	ob,s,w,ob	侄眷男
older-brother,son,spouse,younger-sister	ob,s,w,ls	侄眷女
older-brother,son,spouse,older-brother,son	ob,s,w,ob,s	侄眷孙男
older-brother,son,spouse,younger-brother,daughter	ob,s,w,lb,d	侄眷孙女
older-brother,son,spouse,older-sister,daughter	ob,s,w,os,d	侄眷外孙女
older-brother,son,spouse,father,father,father	ob,s,w,f,f,f	侄眷祖父
older-sister,son,spouse,father	os,s,w,f	甥眷兄弟
older-sister,son,spouse,mother	os,s,w,m	甥眷姊妹
older-sister,son,spouse,father,father	os,s,w,f,f	甥眷父
older-sister,son,spouse,father,mother	os,s,w,f,m	甥眷母
older-sister,son,spouse,mother,father	os,s,w,m,f	甥眷父
older-sister,son,spouse,mother,mother	os,s,w,m,m	甥眷母
older-sister,son,spouse,older-brother	os,s,w,ob	甥眷男
older-sister,son,spouse,younger-sister	os,s,w,ls	甥眷女
older-sister,son,spouse,older-brother,son	os,s,w,ob,s	甥眷孙男
older-sister,son,spouse,younger-brother,daughter	os,s,w,lb,d	甥眷孙女
older-sister,son,spouse,older-sister,daughter	os,s,w,os,d	甥眷外孙女
older-sister,son,spouse,father,father,father	os,s,w,f,f,f	甥眷祖父
father,younger-brother,spouse,father	f,lb,w,f	叔眷外祖父
father,younger-brother,spouse,mother	f,lb,w,m	叔眷外祖母
father,younger-brother,spouse,father,father	f,lb,w,f,f	
father,younger-brother,spouse,father,mother	f,lb,w,f,m	
father,younger-brother,spouse,mother,father	f,lb,w,m,f	
father,younger-brother,spouse,mother,mother	f,lb,w,m,m	
father,younger-brother,spouse,older-brother	f,lb,w,ob	叔眷舅父
father,younger-brother,spouse,younger-sister	f,lb,w,ls	叔眷姨母
father,younger-brother,spouse,older-brother,son	f,lb,w,ob,s	叔眷舅表兄|叔眷舅表弟
father,younger-brother,spouse,younger-brother,daughter	f,lb,w,lb,d	叔眷舅表姊|叔眷舅表妹
father,younger-brother,spouse,older-sister,daughter	f,lb,w,os,d	叔眷姨表姊|叔眷姨表妹
father,younger-brother,spouse,father,father,father	f,lb,w,f,f,f	
mother,older-brother,spouse,father	m,ob,w,f	舅眷外祖父
mother,older-brother,spouse,mother	m,ob,w,m	舅眷外祖母
mother,older-brother,spouse,father,father	m,ob,w,f,f	
mother,older-brother,spouse,father,mother	m,ob,w,f,m	
mother,older-brother,spouse,mother,father	m,ob,w,m,f	
mother,older-brother,spouse,mother,mother	m,ob,w,m,m	
mother,older-brother,spouse,older-brother	m,ob,w,ob	舅眷舅父
mother,older-brother,spouse,younger-sister	m,ob,w,ls	舅眷姨母
mother,older-brother,spouse,older-brother,son	m,ob,w,ob,s	舅眷舅表兄|舅眷舅表弟
mother,older-brother,spouse,younger-brother,daughter	m,ob,w,lb,d	舅眷舅表姊|舅眷舅表妹
mother,older-brother,spouse,older-sister,daughter	m,ob,w,os,d	舅眷姨表姊|舅眷姨表妹
mother,older-brother,spouse,father,father,father	m,ob,w,f,f,f	
father,father,younger-brother,spouse,father	f,f,lb,w,f	
father,father,younger-brother,spouse,mother	f,f,lb,w,m	
father,father,younger-brother,spouse,father,father	f,f,lb,w,f,f	
father,father,younger-brother,spouse,father,mother	f,f,lb,w,f,m	
father,father,younger-brother,spouse,mother,father	f,f,lb,w,m,f	
father,father,younger-brother,spouse,mother,mother	f,f,lb,w,m,m	
father,father,younger-brother,spouse,older-brother	f,f,lb,w,ob	叔祖眷舅祖父
father,father,younger-brother,spouse,younger-sister	f,f,lb,w,ls	叔祖眷姨祖母
father,father,younger-brother,spouse,older-brother,son	f,f,lb,w,ob,s	叔祖眷舅表伯父|叔祖眷舅表叔父
father,father,younger-brother,spouse,younger-brother,daughter	f,f,lb,w,lb,d	叔祖眷舅表姑母
father,father,younger-brother,spouse,older-sister,daughter	f,f,lb,w,os,d	叔祖眷姨姑母
father,father,younger-brother,spouse,father,father,father	f,f,lb,w,f,f,f	
mother,father,older-brother,spouse,father	m,f,ob,w,f	
mother,father,older-brother,spouse,mother	m,f,ob,w,m	
mother,father,older-brother,spouse,father,father	m,f,ob,w,f,f	
mother,father,older-brother,spouse,father,mother	m,f,ob,w,f,m	
mother,father,older-brother,spouse,mother,father	m,f,ob,w,m,f	
mother,father,older-brother,spouse,mother,mother	m,f,ob,w,m,m	
mother,father,older-brother,spouse,older-brother	m,f,ob,w,ob	叔外祖眷舅祖父
mother,father,older-brother,spouse,younger-sister	m,f,ob,w,ls	叔外祖眷姨祖母
mother,father,older-brother,spouse,older-brother,son	m,f,ob,w,ob,s	叔外祖眷舅表伯父|叔外祖眷舅表叔父
mother,father,older-brother,spouse,younger-brother,daughter	m,f,ob,w,lb,d	叔外祖眷舅表姑母
mother,father,older-brother,spouse,older-sister,daughter	m,f,ob,w,os,d	叔外祖眷姨姑母
mother,father,older-brother,spouse,father,father,father	m,f,ob,w,f,f,f	
father,younger-brother,son,spouse,father	f,lb,s,w,f	从父兄弟眷父
father,younger-brother,son,spouse,mother	f,lb,s,w,m	从父兄弟眷母
father,younger-brother,son,spouse,father,father	f,lb,s,w,f,f	从父兄弟眷祖父
father,younger-brother,son,spouse,father,mother	f,lb,s,w,f,m	从父兄弟眷祖母
father,younger-brother,son,spouse,mother,father	f,lb,s,w,m,f	从父兄弟眷外祖父
father,younger-brother,son,spouse,mother,mother	f,lb,s,w,m,m	从父兄弟眷外祖母
father,younger-brother,son,spouse,older-brother	f,lb,s,w,ob	从父兄弟眷兄弟
father,younger-brother,son,spouse,younger-sister	f,lb,s,w,ls	从父兄弟眷姊妹
